Ht,chi,gamma,direction
8.0,0.2642258629202842,1e-07,down
7.8,0.20978248864412302,1e-07,down
7.6,0.14728419482707975,1e-07,down
7.4,0.3330144919455051,1e-07,down
7.2,0.6019386798143386,1e-07,down
7.0,0.3577215299010276,1e-07,down
6.8,0.536103382706642,1e-07,down
6.6,0.06852281213377863,1e-07,down
6.4,0.3648436963558196,1e-07,down
6.2,0.15068618208169937,1e-07,down
6.0,0.39179663360118855,1e-07,down
5.8,0.29606776405125845,1e-07,down
5.6,0.05131410807371138,1e-07,down
5.4,0.06516335159540175,1e-07,down
5.2,0.3063871413469314,1e-07,down
5.0,0.28187722712755203,1e-07,down
4.8,0.07069003395736216,1e-07,down
4.6,-0.00435783341526985,1e-07,down
4.4,0.08367709442973136,1e-07,down
4.2,0.2757620587944984,1e-07,down
4.0,0.6146254362538456,1e-07,down
3.8,0.5578888999298215,1e-07,down
3.6,0.6965955570340154,1e-07,down
3.4,0.34270136803388596,1e-07,down
3.2,0.029807082843035453,1e-07,down
3.0,0.44527598097920407,1e-07,down
2.8,0.312815080047585,1e-07,down
2.6,0.3035242594778537,1e-07,down
2.4,0.3627332001924514,1e-07,down
2.2,-0.015574067831039424,1e-07,down
2.0,0.012472152709960936,1e-07,down
1.8,0.42688502371311177,1e-07,down
1.6,-0.009643763303756712,1e-07,down
1.4,0.01776674389839172,1e-07,down
1.2,0.011211216449737547,1e-07,down
1.0,0.0025660991668701168,1e-07,down
0.8,-0.0074506700038909895,1e-07,down
0.6,-0.0015230178833007808,1e-07,down
0.4,0.008110314607620238,1e-07,down
0.2,-0.0064914226531982405,1e-07,down
-0.0,-0.0008234381675720215,1e-07,down
-0.0,-0.0008234381675720215,1e-07,up
0.2,0.0004822611808776855,1e-07,up
0.4,0.009552717208862303,1e-07,up
0.6,-0.0030013024806976314,1e-07,up
0.8,-0.0057391226291656485,1e-07,up
1.0,0.0015708804130554197,1e-07,up
1.2,-0.011947691440582272,1e-07,up
1.4,0.0120701789855957,1e-07,up
1.6,-0.0032857656478881823,1e-07,up
1.8,0.013859212398529051,1e-07,up
2.0,-0.004596173763275145,1e-07,up
2.2,0.007126927375793457,1e-07,up
2.4,0.015042245388031004,1e-07,up
2.6,0.006162345409393309,1e-07,up
2.8,0.03869473934173583,1e-07,up
3.0,0.3226130753755569,1e-07,up
3.2,0.19670930504798886,1e-07,up
3.4,-0.026292413473129266,1e-07,up
3.6,0.34800559841096396,1e-07,up
3.8,0.16349990403978149,1e-07,up
4.0,0.015399394556879996,1e-07,up
4.2,0.30058730673044914,1e-07,up
4.4,0.034824074245989316,1e-07,up
4.6,0.2984163425862789,1e-07,up
4.8,0.04549533128738402,1e-07,up
5.0,0.03489645197987556,1e-07,up
5.2,0.06493150629103182,1e-07,up
5.4,0.30126810818910593,1e-07,up
5.6,0.287195187062025,1e-07,up
5.8,0.08645473793148992,1e-07,up
6.0,0.15295350551605222,1e-07,up
6.2,0.10473388805985448,1e-07,up
6.4,0.08345842361450194,1e-07,up
6.6,0.22745682578533882,1e-07,up
6.8,0.10902460012584923,1e-07,up
7.0,-0.0015601157210767343,1e-07,up
7.2,0.2539742025546729,1e-07,up
7.4,0.48878638073801983,1e-07,up
7.6,0.49376032501459116,1e-07,up
7.8,0.4723817370831966,1e-07,up
8.0,0.11292056739330289,1e-07,up
8.0,0.20854182634502644,1e-07,down
7.8,0.18556562927551562,1e-07,down
7.6,0.2020556167699396,1e-07,down
7.4,0.08792828582227227,1e-07,down
7.2,0.054882496129721396,1e-07,down
7.0,0.1344179648440331,1e-07,down
6.8,0.24457250535488126,1e-07,down
6.6,0.12168349698185918,1e-07,down
6.4,0.2509623728692531,1e-07,down
6.2,0.3160305926576256,1e-07,down
6.0,0.5021486580371856,1e-07,down
5.8,0.47881085029803205,1e-07,down
5.6,0.10145070776343344,1e-07,down
5.4,0.39844186604022974,1e-07,down
5.2,0.6838682442903518,1e-07,down
5.0,0.6234727855771779,1e-07,down
4.8,0.47461615130305285,1e-07,down
4.6,0.35087260603904713,1e-07,down
4.4,0.38454746454954136,1e-07,down
4.2,0.24717069417238233,1e-07,down
4.0,0.013292126357555386,1e-07,down
3.8,0.535641998052597,1e-07,down
3.6,0.875193815678358,1e-07,down
3.4,0.0558200925588608,1e-07,down
3.2,0.08254501223564147,1e-07,down
3.0,0.03155648708343505,1e-07,down
2.8,-0.011099487543106077,1e-07,down
2.6,0.32540410757064814,1e-07,down
2.4,0.005699485540390014,1e-07,down
2.2,0.030813276767730706,1e-07,down
2.0,-0.026117354631423943,1e-07,down
1.8,-0.011827290058135983,1e-07,down
1.6,0.00017559528350830065,1e-07,down
1.4,-0.006214022636413574,1e-07,down
1.2,0.4175668656826018,1e-07,down
1.0,-0.021309942007064812,1e-07,down
0.8,0.01106894016265869,1e-07,down
0.6,0.014336228370666502,1e-07,down
0.4,-0.00964701175689697,1e-07,down
0.2,0.003363341093063353,1e-07,down
-0.0,0.0009015798568725585,1e-07,down
-0.0,0.0009015798568725585,1e-07,up
0.2,-0.0037646889686584464,1e-07,up
0.4,-0.005785226821899412,1e-07,up
0.6,0.00029516220092773416,1e-07,up
0.8,-0.006259232759475707,1e-07,up
1.0,0.002316921949386596,1e-07,up
1.2,0.006952345371246337,1e-07,up
1.4,0.0071896016597747785,1e-07,up
1.6,0.015971481800079342,1e-07,up
1.8,0.009681969881057738,1e-07,up
2.0,-0.004258841276168822,1e-07,up
2.2,0.00809192657470703,1e-07,up
2.4,0.024330377578735348,1e-07,up
2.6,0.0035679340362548845,1e-07,up
2.8,0.0010005533695220943,1e-07,up
3.0,0.40454806387424463,1e-07,up
3.2,0.3153168708086013,1e-07,up
3.4,0.007409311830997465,1e-07,up
3.6,0.026575773954391476,1e-07,up
3.8,-0.018090657889842984,1e-07,up
4.0,-0.0038389042019844033,1e-07,up
4.2,0.03515053540468215,1e-07,up
4.4,0.029923029243946072,1e-07,up
4.6,0.06272155418992041,1e-07,up
4.8,0.280139859765768,1e-07,up
5.0,0.11556651862338183,1e-07,up
5.2,0.06756502110511063,1e-07,up
5.4,0.08884200640022752,1e-07,up
5.6,0.09796029329299924,1e-07,up
5.8,0.2614224865101277,1e-07,up
6.0,0.08633544668555257,1e-07,up
6.2,0.13375710137188432,1e-07,up
6.4,0.2795112989842891,1e-07,up
6.6,0.535620156675577,1e-07,up
6.8,0.31332494877278805,1e-07,up
7.0,0.33648189622908825,1e-07,up
7.2,-0.0202312561450526,1e-07,up
7.4,0.5233703311532736,1e-07,up
7.6,0.30893633700907225,1e-07,up
7.8,0.2588482201099395,1e-07,up
8.0,0.1444108262658119,1e-07,up
8.0,0.2779816538095473,1e-07,down
7.8,0.4085440225899219,1e-07,down
7.6,0.33177594095468516,1e-07,down
7.4,0.6988510712981224,1e-07,down
7.2,0.1995070874691009,1e-07,down
7.0,0.34870402514934534,1e-07,down
6.8,0.33799056475982064,1e-07,down
