k,corr
10,0.9219198169188993
11,0.8760690858727809
12,0.8551271159268324
13,0.8491669986417524
14,0.8382467895767229
15,0.8317600170814338
16,0.8355447342687427
17,0.8306777697816811
18,0.8273695239268652
19,0.8282164753166652
20,0.8839816660098647
21,0.9224169257409324
22,0.9336321284422008
23,0.9351689491698959
24,0.9355132893911076
25,0.9381294613204305
26,0.9397839362222336
27,0.9486177689565075
28,0.9506756298753803
29,0.9468845793183283
10,0.9000290865392993
11,0.8547849267520906
12,0.833978031001309
13,0.822462449698504
14,0.8114561964470297
15,0.8177223663508288
16,0.8190892201361528
17,0.8162812224832399
18,0.8124542037850965
19,0.8098692615640543
20,0.8631774819971252
21,0.912091454673892
22,0.9189741476463451
23,0.9271052094288212
24,0.9303396685071086
25,0.9317151982746635
26,0.9270599165205153
27,0.9361940352610507
28,0.9367589921583084
29,0.9356311920929956
10,0.9012753924476591
11,0.8638970424634882
12,0.8387717693571524
13,0.8417590458399434
14,0.8349416955114662
15,0.81228406084902
16,0.800870891254833
17,0.8042481808695632
18,0.8032591626022464
19,0.8028179011313512
20,0.8421538176879503
21,0.8738657547234441
22,0.8682138775529692
23,0.8712671424047131
24,0.8706983807026651
25,0.8715409242861416
26,0.8705771824132503
27,0.8702284966251396
28,0.8697609586914716
29,0.8680590272595253
10,0.9220040610620492
11,0.9005646110973966
12,0.8905253836370519
13,0.8890527248921429
14,0.8856266816359295
15,0.884200244309671
16,0.8800850711915406
17,0.8639666023637693
18,0.8496649131802716
19,0.8494816451468182
20,0.8869039639772979
21,0.9121684557714558
22,0.9138742596706916
23,0.9231162580183975
24,0.9261577449150671
25,0.928060113842921
26,0.93256453649196
27,0.9306590670247623
28,0.9332187140062592
29,0.930073034595063
10,0.9036349000645199
11,0.8501835995722165
12,0.8411822615541844
13,0.8329736716103342
14,0.8152700900408986
15,0.8038018990964757
16,0.8026103124804587
17,0.7992520517731483
18,0.8002285239780699
19,0.8005054324569179
20,0.8577828909330216
21,0.9105849694499696
22,0.901291383528372
23,0.8969573096588956
24,0.8986683760459947
25,0.9033244234983758
26,0.9078676765222268
27,0.9089926642022406
28,0.9080194581700418
29,0.9063994422249968
10,0.9152378705197209
11,0.8732534277955948
12,0.8643064877109878
13,0.8568299152461256
14,0.8458198696210071
15,0.8447040038338802
16,0.844265454665333
17,0.8433908568955129
18,0.8401228193245709
19,0.8336392496586577
20,0.8847147427218633
21,0.9273673590149235
22,0.9377956634750543
23,0.9372619250697752
24,0.9377600024374033
25,0.9379147396491658
26,0.9370669124093229
27,0.9477436187417508
28,0.9493658262215139
29,0.9455125984411046
10,0.9062832270102499
11,0.8596425192807009
12,0.8553350326644054
13,0.8499344645209757
14,0.844265735895776
15,0.8427029968869102
16,0.8419702498405537
17,0.8384243617656887
18,0.837764981347157
19,0.8364569285497818
20,0.8905917524842172
21,0.9253522782406713
22,0.9342470634564984
23,0.9346289962909669
24,0.935850121700871
25,0.9538512327010371
26,0.9528837632953865
27,0.9472696223963368
28,0.944665372340132
29,0.943935833443718
10,0.9297166745819918
11,0.8861465541061927
12,0.86009822021145
13,0.8549775122592079
14,0.8436605199130813
15,0.8435715208759349
16,0.8342346161203684
17,0.8353160824032703
18,0.8345808626936595
19,0.8330581507043415
20,0.8680437662840645
21,0.9067609740967463
22,0.9187660825658963
23,0.923561120625856
24,0.9219947472332104
25,0.9211280125171257
26,0.9214416958733809
27,0.9191410878849545
28,0.9203820220980935
29,0.9238108462135382
10,0.927383892657831
11,0.8768026931563074
12,0.8375934488207626
13,0.8194199288006245
14,0.8035384282250929
15,0.7875007473344143
16,0.7779317946514686
17,0.7798242011648258
18,0.7794240901112129
19,0.7743327879944659
20,0.828689699709362
21,0.883939242504891
22,0.8866001422647655
23,0.8832679786092937
24,0.8816743302160936
25,0.8787625214130756
26,0.8830568482345049
27,0.8792744823812164
28,0.8820928623956561
29,0.8868174936493283
10,0.9064462646269223
11,0.8677517461071675
12,0.8580291583272089
13,0.849961222856713
14,0.8469941271973476
15,0.8426844539767355
16,0.8440142101263556
17,0.8458902275123081
18,0.8422408918309406
19,0.840511289688493
20,0.880888745399982
21,0.9065325842921521
22,0.920882261909423
23,0.9205096386113244
24,0.9205622095768587
25,0.9221684903625814
26,0.9168439011704488
27,0.9168617289196103
28,0.919652798607107
29,0.9248680527404648
10,0.9233690124360306
11,0.8810770200437441
12,0.8561859979302107
13,0.8536368901737801
14,0.8529763525469167
15,0.8551427264171798
16,0.8526890793037121
17,0.8535889552812648
18,0.8470115217326848
19,0.8417748665042021
20,0.8917357233035957
21,0.9373121636925305
22,0.9380891023821782
23,0.9361487723247943
24,0.9298835273212642
25,0.9204128263864295
26,0.9183840051323842
27,0.9209481072496002
28,0.9182133368525461
29,0.9214413210549498
10,0.9095645643428023
11,0.8709812793205117
12,0.8665857387121662
13,0.8642904447724247
14,0.8601610701102395
15,0.8551057578689901
16,0.8525036154025972
17,0.8509466663092304
18,0.8496034107645858
19,0.8495343494900943
20,0.899324448543793
21,0.9458113752324071
22,0.9479025836327081
23,0.9613637726553653
24,0.9598718554802247
25,0.9602323526564807
26,0.9590115107926872
27,0.9588000229597029
28,0.9557814587786092
29,0.9496327374915463
10,0.9168683110416238
11,0.8766561050496129
12,0.857040716540293
13,0.8437522707988091
14,0.8388407413317918
15,0.8302859897702703
16,0.8356575905688471
17,0.8323477990858503
18,0.828275013798408
19,0.8247058784715445
20,0.8758099109286752
21,0.9228896117060543
22,0.9279287412298813
23,0.9323458590528251
24,0.9332197534913972
25,0.9384457332011007
26,0.9395978064457114
27,0.9397044545504173
28,0.9392370696285999
29,0.9354322195887328
10,0.930586083256696
11,0.8941383872486354
12,0.8710235088812164
13,0.8648568700597797
14,0.8605901655252806
15,0.850915746847989
16,0.8494601233474424
17,0.8496726971635354
18,0.8473380882554913
19,0.8454792006751065
20,0.8879216202590913
21,0.9220501522078359
22,0.921224343726796
23,0.9281107795648682
24,0.92685153235978
25,0.9247467302871261
26,0.9217999119622611
27,0.922396452923796
28,0.9188261045905181
29,0.9213612754740902
