i,Ht,chi
0,6.0,0.7017912417650222
1,6.0,0.4188926294445991
2,6.0,0.23586191982030866
3,6.0,0.21975192427635187
4,6.0,0.20754697918891904
5,6.0,0.17363408207893366
6,6.0,0.1544392555952072
7,6.0,0.17591816186904902
8,6.0,0.17825943231582636
9,6.0,0.19691038131713864
10,2.0,0.09843534231185912
11,2.0,0.36917142377933476
12,2.0,0.3427650183439254
13,2.0,0.23468390852212903
14,2.0,0.19323179125785822
15,2.0,0.36055108532309527
16,2.0,0.22452009003609413
17,2.0,0.19623055635020134
18,2.0,0.33418554440140713
19,2.0,0.3388230297714471
20,6.0,0.5361901521682738
21,6.0,0.33200413733720774
22,6.0,0.5221452005207537
23,6.0,0.4520182411652058
24,6.0,0.4190831154119223
25,6.0,0.30025567859411234
26,6.0,0.50401920825243
27,6.0,0.4191439261194318
28,6.0,0.337968785315752
29,6.0,0.17085997760295865
0,6.0,0.5330715654417872
1,6.0,0.4654515925794839
2,6.0,0.39081022888422
3,6.0,0.3866078220307826
4,6.0,0.4078192934393882
5,6.0,0.5999625511467456
6,6.0,0.596422480419278
7,6.0,0.4135158993303775
8,6.0,0.41014713607728476
9,6.0,0.5917457789182662
10,2.0,0.4773276485502719
11,2.0,0.3371814414858817
12,2.0,0.5431509129703044
13,2.0,0.39998094737529744
14,2.0,0.22414693981409067
15,2.0,0.30012315977364773
16,2.0,0.17694137524813408
17,2.0,0.15503584034740922
18,2.0,0.15932683367282147
19,2.0,0.1191702979849651
20,6.0,0.6151262428611516
21,6.0,0.34487347025424236
22,6.0,0.5665253549814223
23,6.0,0.535502353683114
24,6.0,0.33053106442093844
25,6.0,0.5113877113908529
26,6.0,0.47514720447361464
27,6.0,0.30025112442672247
28,6.0,0.28611273691058153
29,6.0,0.5159032652154564
0,6.0,0.7380786407738923
1,6.0,0.31273407558910543
2,6.0,0.5658667846582829
3,6.0,0.4165015518665313
4,6.0,0.34461849182844156
5,6.0,0.47222908958792675
6,6.0,0.35560523346066464
7,6.0,0.27376104146242136
8,6.0,0.4781195456162094
9,6.0,0.34317456558346743
10,2.0,0.2617594227194785
11,2.0,0.28146404027938837
12,2.0,0.3130142819136381
13,2.0,0.36077853292226786
14,2.0,0.447911889408715
15,2.0,0.39245822711382056
16,2.0,0.27209471538662905
17,2.0,0.2699227244593203
18,2.0,0.2768206703476607
19,2.0,0.24833272024989125
20,6.0,0.5708236712962388
21,6.0,0.4262369982898235
22,6.0,0.43662590160965914
23,6.0,0.4489446058869362
24,6.0,0.4306473806500434
25,6.0,0.42807791009545315
26,6.0,0.3081018794327974
27,6.0,0.5214049909263848
28,6.0,0.3243548944592475
29,6.0,0.23638850823044769
0,6.0,0.599903805181384
1,6.0,0.44852286018431176
2,6.0,0.5803165920078753
3,6.0,0.4276075046509503
4,6.0,0.3337890841066837
5,6.0,0.31519707292318333
6,6.0,0.31337967514991755
7,6.0,0.31999661028385157
8,6.0,0.314416904002428
9,6.0,0.5490638427436351
10,2.0,0.6414939006790518
11,2.0,0.13119583250954742
12,2.0,0.7096402579918503
13,2.0,0.014153484255075434
14,2.0,0.5531751933740451
15,2.0,-0.001416442915797254
16,2.0,0.4830989865586161
17,2.0,0.41721921786665905
18,2.0,0.11287695169448847
19,2.0,0.4593150652945041
20,6.0,0.5476415175944566
21,6.0,0.5447327373549341
22,6.0,0.36687338724732393
23,6.0,0.3838163688778876
24,6.0,0.3966548778116702
25,6.0,0.39087697491049755
26,6.0,0.416011095046997
27,6.0,0.5113639889750629
28,6.0,0.36106411553919315
29,6.0,0.23006118927150962
0,6.0,0.5350353568792342
1,6.0,0.5162355750799178
2,6.0,0.44516138732433314
3,6.0,0.3501124940812587
4,6.0,0.5447021294385194
5,6.0,0.42099219001829613
6,6.0,0.3663432002067565
7,6.0,0.36525462940335274
8,6.0,0.43183470517396916
9,6.0,0.39293129369616503
10,2.0,0.6244431771337985
11,2.0,0.16570726269856087
12,2.0,0.5444938810542225
13,2.0,0.0450342271942645
14,2.0,0.575922306627035
15,2.0,0.07091946527361866
16,2.0,0.6558368117548525
17,2.0,0.4782971013337373
18,2.0,0.389273477718234
19,2.0,0.09079205058515068
20,6.0,0.5853140167891978
21,6.0,0.3573301173746585
22,6.0,0.2598942890763282
23,6.0,0.4508907841518521
24,6.0,0.33784809522330755
25,6.0,0.3257093150168657
26,6.0,0.3566139172762632
27,6.0,0.48287779535166914
28,6.0,0.3519280441105365
29,6.0,0.4429383669048547
0,6.0,0.533293206244707
1,6.0,0.5612724653328768
2,6.0,0.426568110124208
3,6.0,0.4135581869632005
4,6.0,0.5648442059755324
5,6.0,0.429586874321103
6,6.0,0.3779160398989915
7,6.0,0.3416138365864753
8,6.0,0.3327535539865493
9,6.0,0.311940886080265
10,2.0,0.680396795272827
11,2.0,0.552620468661189
12,2.0,0.3749538473784923
13,2.0,0.38974781334400166
14,2.0,0.48267655074596394
15,2.0,0.16076733171939844
16,2.0,0.530013520270586
17,2.0,0.19261279189959166
18,2.0,0.35010976903140545
19,2.0,0.2258372572250664
20,6.0,0.6611753003671764
21,6.0,0.4305991642177104
22,6.0,0.4771848917007446
23,6.0,0.44123798981308926
24,6.0,0.47502348944544787
25,6.0,0.4467076137661933
26,6.0,0.428167700767517
27,6.0,0.523186683654785
28,6.0,0.4953530859202146
29,6.0,0.37551758438348765
0,6.0,0.5143738575279712
1,6.0,0.4975906440522521
2,6.0,0.49173245951533306
3,6.0,0.43106737360358227
4,6.0,0.39706741832196707
5,6.0,0.41244553914293647
6,6.0,0.40474202856421465
7,6.0,0.3043096419423818
8,6.0,0.44259091932326544
9,6.0,0.38692782330326725
10,2.0,0.3595718331634998
11,2.0,0.4244826879003084
12,2.0,0.12908004224300382
13,2.0,0.4682309236377477
14,2.0,0.21230486594140524
15,2.0,0.13144068745896217
16,2.0,0.13518714020028708
17,2.0,0.16276298835873598
18,2.0,0.16798666585236785
19,2.0,0.20674721896648404
20,6.0,0.3917736932635307
21,6.0,0.3921296093612908
22,6.0,0.4164382386952638
23,6.0,0.3681694567203521
24,6.0,0.28489516954869026
25,6.0,0.44833608390763396
26,6.0,0.3740456104278564
27,6.0,0.4603521460667252
28,6.0,0.3397783692926168
29,6.0,0.275364332832396
0,6.0,0.6862617335282265
1,6.0,0.4279245799407362
2,6.0,0.4525584056973456
3,6.0,0.3389367535710334
4,6.0,0.27597265690565104
5,6.0,0.29276381433010096
